,crn,date,subj,sub_num,course,location,section,description,instructor,credit
209,12722,"2:10 - 3:30 PM, TR",ARE,215B,ARE 215B,OLSON 6,001,Open Macro Development,"Shenoy, A",4.0
210,12722,"3:40 - 4:00 PM, TR",ARE,215B,ARE 215B,OLSON 6,001,Open Macro Development,"Shenoy, A",4.0
211,12723,"3:40 - 4:00 PM, MW",ARE,232,ARE 232,WELLMN 5,001,Commodity Markets,"Goodhue,Sexton",4.0
212,12723,"2:10 - 3:30 PM, MW",ARE,232,ARE 232,WELLMN 5,001,Commodity Markets,"Goodhue,Sexton",4.0
213,12724,"11:00 - 11:50 AM, F",ARE,240A,ARE 240A,BAINER 1130,001,Econometric Methods,"Smith, A",4.0
214,12724,"12:10 - 1:30 PM, TR",ARE,240A,ARE 240A,BAINER 1130,001,Econometric Methods,"Smith, A",4.0
215,12725,"9:00 - 9:50 AM, M",ARE,240C,ARE 240C,SOCSCI 2102,001,Time Series Econometrics,"Gafarov, B",4.0
216,12725,"12:10 - 1:30 PM, MW",ARE,240C,ARE 240C,H GYM 290,001,Time Series Econometrics,"Gafarov, B",4.0
217,12726,"2:10 - 3:30 PM, MW",ARE,256B,ARE 256B,STORER 1342,001,Applied Econometrics II,"Gafarov, B",4.0
218,12726,"10:00 - 10:50 AM, F",ARE,256B,ARE 256B,WICKSN 1020,001,Applied Econometrics II,"Gafarov, B",4.0
219,12727,"2:10 - 4:00 PM, TR",ARE,275,ARE 275,WELLMN 127,001,Resource & Environ Econ,"Agerton, M",4.0
220,12728,"4:10 - 6:00 PM, TR",ARE,277,ARE 277,WICKSN 2124,001,Natural Resource Econ,"Sanchirico, J",4.0
221,12729,"12:10 - 1:30 PM, W",ARE,293,ARE 293,HART 1106,001,Anlys Cal Ag & Resources,"Goodhue, R",3.0
222,12729,TBA,ARE,293,ARE 293,TBA,001,Anlys Cal Ag & Resources,"Goodhue, R",3.0
223,@,TBA,ARE,298,ARE 298,TBA,-,Directed Group Study,The Staff,V
