,crn,date,subj,sub_num,course,location,section,description,instructor,credit
32,@,TBA,ARE,298,ARE 298,TBA,-,Directed Group Study,The Staff,V
33,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
34,@,TBA,ARE,299,ARE 299,TBA,-,Individual Study,The Staff,V
35,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
36,@,TBA,ARE,299D,ARE 299D,TBA,-,Spec Study Doctoral Diss,The Staff,V
37,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
38,@,TBA,ARE,396,ARE 396,TBA,-,Teaching Asst Train Prac,The Staff,V
39,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
40,@,TBA,AED,092,AED 092,TBA,-,Internship,The Staff,V
41,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
42,@,TBA,AED,098,AED 098,TBA,-,Directed Group Study,"Ebeler, S",V
43,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
44,@,TBA,AED,099,AED 099,TBA,-,Special Study Undgd,The Staff,V
45,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
46,@,"5:10 - 7:00 PM, T",AED,190,AED 190,OLSON 250,001,Seminar in Ag Educ,"Ebeler, S",2.0
47,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
48,@,TBA,AED,192,AED 192,TBA,-,Internship,The Staff,V
49,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
50,@,TBA,AED,198,AED 198,TBA,-,Directed Group Study,"Ebeler, S",V
51,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
52,@,TBA,AED,199,AED 199,TBA,-,Special Study,The Staff,V
53,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
54,@,TBA,AMS,098,AMS 098,TBA,-,Directed Gp Study,The Staff,V
55,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
56,@,TBA,AMS,099,AMS 099,TBA,-,Individual Study,The Staff,V
57,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
58,@,TBA,AMS,190A,AMS 190A,TBA,-,Senior Thesis,The Staff,4.0
59,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
60,@,TBA,AMS,190B,AMS 190B,TBA,-,Senior Thesis,The Staff,4.0
61,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
62,@,TBA,AMS,192,AMS 192,TBA,-,Internship,The Staff,V
63,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
64,@,TBA,AMS,197T,AMS 197T,TBA,-,Tutoring,The Staff,V
65,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
66,@,TBA,AMS,198,AMS 198,TBA,-,Directed Gp Study,The Staff,V
67,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
68,@,TBA,AMS,199,AMS 199,TBA,-,Special Study,The Staff,V
69,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
70,@,TBA,AMS,298,AMS 298,TBA,-,Group Study,The Staff,V
71,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
72,@,TBA,AMS,299,AMS 299,TBA,-,Ind St,The Staff,V
73,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
74,@,TBA,AMS,396,AMS 396,TBA,-,Teaching Asst Train Prac,The Staff,V
75,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
76,@,"3:10 - 5:00 PM, MW",ANB,218B,ANB 218B,WICKSN 2120J,001,Fundam Animal Behavior,"Hahn,Sih",5.0
77,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
78,@,"10:00 - 10:50 AM, F",ANB,218B,ANB 218B,ART 210,001,Fundam Animal Behavior,"Hahn,Sih",5.0
79,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
80,@,TBA,ANB,290,ANB 290,TBA,-,Seminar,The Staff,V
81,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
82,@,"12:10 - 1:30 PM, F",ANB,290,ANB 290,OLSON 146,001,Seminar,"Sih, A",V
83,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
84,@,TBA,ANB,298,ANB 298,TBA,-,Group Study,The Staff,V
85,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
86,@,TBA,ANB,299,ANB 299,TBA,-,Research,The Staff,V
87,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
88,@,TBA,ABI,092,ABI 092,TBA,-,Internship,The Staff,V
89,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
90,@,TBA,ABI,098,ABI 098,TBA,-,Group Study,The Staff,V
91,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
92,@,TBA,ABI,099,ABI 099,TBA,-,Special Study,The Staff,V
93,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
94,@,TBA,ABI,189,ABI 189,TBA,-,Senior Practicum,The Staff,2.0
95,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
96,@,TBA,ABI,189D,ABI 189D,TBA,-,Senior Practicum Discuss,The Staff,1.0
97,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
98,@,TBA,ABI,192,ABI 192,TBA,-,Internship,The Staff,V
99,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
100,@,TBA,ABI,198,ABI 198,TBA,-,Group Study,The Staff,V
101,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
102,@,TBA,ABI,199,ABI 199,TBA,-,Special Study,"Kimsey, R",V
103,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
104,@,TBA,ABG,290C,ABG 290C,TBA,-,Research Conference,The Staff,1.0
105,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
106,@,TBA,ABG,298,ABG 298,TBA,-,Group Study,The Staff,V
107,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
108,@,TBA,ABG,299,ABG 299,TBA,-,Research,The Staff,V
109,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
110,@,TBA,ABG,396,ABG 396,TBA,-,Teaching Asst Train Prac,The Staff,V
111,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
112,@,TBA,ANG,198,ANG 198,TBA,-,Directed Gp Study,The Staff,V
113,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
114,@,TBA,ANG,199,ANG 199,TBA,-,Special Study,The Staff,V
115,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
116,@,TBA,ANG,298,ANG 298,TBA,-,Group Study,The Staff,V
117,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
118,@,TBA,ANG,299,ANG 299,TBA,-,Research,The Staff,V
119,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
120,@,TBA,ANS,090C,ANS 090C,TBA,-,Res Group Conference,The Staff,1.0
121,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
122,@,TBA,ANS,092,ANS 092,TBA,-,Internship,The Staff,V
123,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
124,@,TBA,ANS,098,ANS 098,TBA,-,Directed Group Study,The Staff,V
125,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
126,@,"10:00 - 10:50 AM, MWF",ANS,098,ANS 098,OLSON 118,038,Directed Group Study,"Teixeira, K",V
127,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
128,@,TBA,ANS,099,ANS 099,TBA,-,Special Study,The Staff,V
129,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
130,@,TBA,ANS,190C,ANS 190C,TBA,-,Res Group Conf,The Staff,1.0
131,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
132,@,TBA,ANS,192,ANS 192,TBA,-,Internship,The Staff,V
133,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
134,@,TBA,ANS,194,ANS 194,TBA,-,Research in Animal Sci,The Staff,3.0
135,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
136,@,TBA,ANS,194,ANS 194,TBA,-,Research in Animal Sci,The Staff,3.0
137,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
138,@,TBA,ANS,194HB,ANS 194HB,TBA,-,Honors Thesis/Animal Sci,The Staff,4.0
139,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
140,@,TBA,ANS,194HB,ANS 194HB,TBA,-,Honors Thesis/Animal Sci,The Staff,4.0
141,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
142,@,TBA,ANS,197T,ANS 197T,TBA,-,Tutoring in Animal Sci,The Staff,V
143,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
144,@,TBA,ANS,198,ANS 198,TBA,-,Directed Gp Study,The Staff,V
145,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
146,@,TBA,ANS,199,ANS 199,TBA,-,Special Projects,The Staff,V
147,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
148,@,TBA,ANS,290C,ANS 290C,TBA,-,Res Group Conf,The Staff,1.0
149,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
150,@,TBA,ANS,297,ANS 297,TBA,-,Teaching An Sci,The Staff,2.0
151,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
152,@,TBA,ANS,298,ANS 298,TBA,-,Group Study,The Staff,V
153,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
154,@,TBA,ANS,299,ANS 299,TBA,-,Research,The Staff,V
155,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
156,@,TBA,ANT,098,ANT 098,TBA,-,Directed Gp Study,The Staff,V
157,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
158,@,TBA,ANT,099,ANT 099,TBA,-,Special Study,The Staff,V
159,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
160,@,TBA,ANT,192,ANT 192,TBA,-,Internship Anthropology,The Staff,V
161,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
162,@,TBA,ANT,194H,ANT 194H,TBA,-,Spec Stdy Honor Std,The Staff,V
163,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
164,@,TBA,ANT,197T,ANT 197T,TBA,-,Tutoring,The Staff,V
165,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
166,@,TBA,ANT,198,ANT 198,TBA,-,Directed Gp Study,The Staff,V
167,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
168,@,TBA,ANT,199,ANT 199,TBA,-,Special Study,The Staff,V
169,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
170,@,TBA,ANT,298,ANT 298,TBA,-,Group Study,The Staff,V
171,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
172,@,TBA,ANT,299,ANT 299,TBA,-,Research,The Staff,V
173,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
174,@,TBA,ANT,299D,ANT 299D,TBA,-,Dissertation Rsch,The Staff,V
175,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
176,@,TBA,ANT,396,ANT 396,TBA,-,Teaching Asst Train Prac,V,
177,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
178,@,TBA,ANT,396,ANT 396,TBA,033,Teaching Asst Train Prac,"Eubanks, J",V
179,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
180,@,TBA,ABT,098,ABT 098,TBA,-,Directed Gp Study,The Staff,V
181,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
182,@,TBA,ABT,099,ABT 099,TBA,-,Special Study,The Staff,V
183,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
184,@,TBA,ABT,190C,ABT 190C,TBA,-,Research Conference,The Staff,1.0
185,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
186,@,TBA,ABT,192,ABT 192,TBA,-,Intern-Ag Eng Tech,The Staff,V
187,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
188,@,TBA,ABT,197T,ABT 197T,TBA,-,Tutor Appl Biol Sys Tech,The Staff,V
189,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
190,@,TBA,ABT,198,ABT 198,TBA,-,Directed Gp Study,The Staff,V
191,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
192,@,TBA,ABT,199,ABT 199,TBA,-,Special Study,The Staff,V
193,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
194,@,TBA,ABT,290C,ABT 290C,TBA,-,Grad Reserch Conference,The Staff,1.0
195,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
196,@,TBA,ABT,298,ABT 298,TBA,-,Group Study,The Staff,V
197,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
198,@,TBA,ABT,299,ABT 299,TBA,-,Research,The Staff,V
199,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
200,@,TBA,ARB,098,ARB 098,TBA,-,Directed Gp Study,The Staff,V
201,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
202,@,TBA,ARB,099,ARB 099,TBA,-,Special Study,The Staff,V
203,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
204,@,TBA,AHI,098,AHI 098,TBA,-,Directed Gp Study,The Staff,V
205,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
206,@,TBA,AHI,099,AHI 099,TBA,-,Special Study,The Staff,V
207,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
208,@,TBA,AHI,192,AHI 192,TBA,-,Internship,The Staff,V
209,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
210,@,TBA,AHI,198,AHI 198,TBA,-,Directed Gp Study,The Staff,V
211,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
212,@,TBA,AHI,199,AHI 199,TBA,-,Special Study,The Staff,V
213,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
214,@,TBA,AHI,292,AHI 292,TBA,-,Internship,The Staff,V
215,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
216,@,TBA,AHI,298,AHI 298,TBA,-,Directed Group Study,The Staff,V
217,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
218,@,TBA,AHI,299,AHI 299,TBA,-,Individual Study,The Staff,V
219,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
220,@,TBA,AHI,396,AHI 396,TBA,-,TA Training Practicum,The Staff,V
221,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
222,@,TBA,AHI,396,AHI 396,TBA,-,TA Training Practicum,The Staff,V
223,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
224,@,TBA,ART,098,ART 098,TBA,-,Directed Gp Study,The Staff,V
225,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
226,@,TBA,ART,099,ART 099,TBA,-,Special Study,The Staff,V
227,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
228,@,TBA,ART,192,ART 192,TBA,-,Internship,The Staff,V
229,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
230,@,TBA,ART,198,ART 198,TBA,-,Directed Gp Study,The Staff,V
231,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
232,@,TBA,ART,199,ART 199,TBA,-,Special Study,The Staff,V
233,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
234,@,TBA,ART,299,ART 299,TBA,-,Individual Study,The Staff,V
235,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
236,@,TBA,ART,299D,ART 299D,TBA,-,Comprehensive Proj,The Staff,V
237,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
238,@,TBA,ASA,197T,ASA 197T,TBA,-,Tutoring in Asa,The Staff,V
239,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
240,@,"4:40 - 6:00 PM, TR",ASA,198F,ASA 198F,OLSON 101,001,Student-Taught Course,The Staff,V
241,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
242,@,TBA,ASA,199FB,ASA 199FB,TBA,001,Student Led Teaching,"Min, S",V
243,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
244,@,TBA,ATM,092,ATM 092,TBA,-,Internship,The Staff,V
245,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
246,@,TBA,ATM,098,ATM 098,TBA,-,Directed Gp Study,The Staff,V
247,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
248,@,TBA,ATM,099,ATM 099,TBA,-,Special Study,The Staff,V
249,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
250,@,TBA,ATM,192,ATM 192,TBA,-,Internship,The Staff,V
251,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
252,@,TBA,ATM,198,ATM 198,TBA,-,Directed Gp Study,The Staff,V
253,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
254,@,TBA,ATM,199,ATM 199,TBA,-,Special Study,The Staff,V
255,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
256,@,TBA,ATM,270A,ATM 270A,TBA,-,Meteor Statistics,The Staff,V
257,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
258,@,TBA,ATM,270B,ATM 270B,TBA,-,Comp Model Of Atmos,The Staff,V
259,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
260,@,TBA,ATM,270C,ATM 270C,TBA,-,Des Exp & Fld Std-Met,The Staff,V
261,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
262,@,TBA,ATM,270D,ATM 270D,TBA,-,Sol & Intr Rad-Atm,The Staff,V
263,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
264,@,TBA,ATM,270E,ATM 270E,TBA,-,Aerosol & Cloud Physics,The Staff,V
265,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
266,@,TBA,ATM,270F,ATM 270F,TBA,-,Atmospheric Chem,The Staff,V
267,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
268,@,TBA,ATM,290,ATM 290,TBA,-,Seminar,The Staff,1.0
269,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
270,@,TBA,ATM,291A,ATM 291A,TBA,-,Air Quality Meteorology,The Staff,V
271,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
272,@,TBA,ATM,291B,ATM 291B,TBA,-,Biometeorology,The Staff,V
273,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
274,@,TBA,ATM,291C,ATM 291C,TBA,-,Boundary Layer Meteorlgy,The Staff,V
275,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
276,@,TBA,ATM,291D,ATM 291D,TBA,-,Climate Change,The Staff,V
277,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
278,@,TBA,ATM,291E,ATM 291E,TBA,-,General Meteorology,The Staff,V
279,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
280,@,TBA,ATM,298,ATM 298,TBA,-,Group Study,The Staff,V
281,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
282,@,TBA,ATM,298,ATM 298,TBA,018,Group Study,"Yang, D",V
283,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
284,@,"12:10 - 1:00 PM, TR",ATM,298,ATM 298,WELLMN 235,019,Group Study,"Yang, D",V
285,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
286,@,TBA,ATM,299,ATM 299,TBA,-,Research,The Staff,V
287,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
288,@,TBA,ATM,396,ATM 396,TBA,-,Teaching Asst Train Prac,The Staff,V
289,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
290,@,TBA,AVS,092,AVS 092,TBA,-,Internship,The Staff,V
291,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
292,@,TBA,AVS,098,AVS 098,TBA,-,Directed Group Study,The Staff,V
293,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
294,@,TBA,AVS,099,AVS 099,TBA,-,Special Study,The Staff,V
295,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
296,@,TBA,AVS,160,AVS 160,TBA,-,Expt in Avian Sciences,The Staff,2.0
297,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
298,@,TBA,AVS,192,AVS 192,TBA,-,Internship,The Staff,V
299,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
300,@,TBA,AVS,195,AVS 195,TBA,-,Research Topics,The Staff,V
301,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
302,@,TBA,AVS,197T,AVS 197T,TBA,-,Tutoring in Avian Sci,The Staff,V
303,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
304,@,TBA,AVS,198,AVS 198,TBA,-,Directed Group Study,The Staff,V
305,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
306,@,TBA,AVS,199,AVS 199,TBA,-,Special Study,The Staff,V
307,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
308,@,TBA,AVS,290C,AVS 290C,TBA,-,Research Conference,The Staff,1.0
309,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
310,@,TBA,AVS,297T,AVS 297T,TBA,-,Superv Tchg Av Sci,The Staff,V
311,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
312,@,TBA,AVS,298,AVS 298,TBA,-,Group Study,The Staff,V
313,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
314,@,TBA,AVS,299,AVS 299,TBA,-,Research,The Staff,V
315,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
316,@,TBA,BCB,298,BCB 298,TBA,-,Group Study,The Staff,V
317,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
318,@,"TBA, W",BCB,298,BCB 298,TBA,001,Group Study,"Chedin, F",V
319,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
320,@,TBA,BCB,298,BCB 298,TBA,004,Group Study,V,
321,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
322,@,TBA,BCB,299,BCB 299,TBA,-,Research,The Staff,V
323,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
324,@,TBA,BIS,092,BIS 092,TBA,-,Internship,The Staff,V
325,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
326,@,TBA,BIS,098,BIS 098,TBA,-,Directed Gp Study,The Staff,V
327,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
328,@,TBA,BIS,099,BIS 099,TBA,-,Special Study,The Staff,V
329,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
330,@,TBA,BIS,192,BIS 192,TBA,-,Internship,The Staff,V
331,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
332,@,TBA,BIS,194H,BIS 194H,TBA,-,Research Honors,The Staff,2.0
333,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
334,@,TBA,BIS,197T,BIS 197T,TBA,-,Tut Bio Sci,The Staff,V
335,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
336,@,TBA,BIS,198,BIS 198,TBA,-,Directed Gp Study,The Staff,V
337,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
338,@,TBA,BIS,298,BIS 298,TBA,-,Group Study,The Staff,V
339,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
340,@,TBA,BPH,200LA,BPH 200LA,TBA,-,Lab Rotations,The Staff,3.0
341,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
342,@,TBA,BPH,200LB,BPH 200LB,TBA,-,Lab Rotations,"Vorobyov,Voss",6.0
343,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
344,@,TBA,BPH,290C,BPH 290C,TBA,-,Research Conference,The Staff,1.0
345,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
346,@,TBA,BPH,298,BPH 298,TBA,-,Group Study,The Staff,V
347,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
348,@,TBA,BPH,299,BPH 299,TBA,-,Research,The Staff,V
349,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
350,@,TBA,BST,298,BST 298,TBA,-,Directed Group Study,The Staff,V
351,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
352,@,TBA,BST,299,BST 299,TBA,-,Special Study for BST,The Staff,V
353,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
354,@,TBA,BST,299D,BST 299D,TBA,-,Dissertation Research,"Bang, H",V
355,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
356,@,TBA,BIT,092,BIT 092,TBA,-,Internship,The Staff,V
357,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
358,@,TBA,BIT,099,BIT 099,TBA,-,Special Study,The Staff,V
359,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
360,@,TBA,BIT,189L,BIT 189L,TBA,-,Research in Biotech,The Staff,V
361,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
